departement,population_2015,population_2016,population_2017,population_2018,population_2019,population_2020,population_2021,population_2022,population_2023,population_2024,population_2025,population_2026,population_2027,population_2028,population_2029,population_2030
Alibori,968544.2,994967.5,1022052.25,1048920.0,1076127.0,1102847.5,1129622.6,1156270.1,1183707.9,1211580.2,1239184.5,1267487.1,1296467.2,1325812.5,1355382.0,1385350.6
Borgou,1513219.5,1555297.4,1598643.2,1642787.8,1686994.9,1731528.2,1775716.1,1819783.8,1865027.1,1910893.6,1956217.4,2002248.1,2048955.2,2096016.0,2143431.8,2191414.5
Plateau,475158.47,489872.75,505345.53,520897.94,536579.06,552125.4,567727.1,582665.5,598362.75,614351.2,630164.2,646393.06,662981.44,679807.3,696829.8,714126.94
Collines,646550.4,664613.25,682887.6,701348.6,719569.75,738161.2,756513.75,775172.3,793929.44,812947.75,831874.9,850998.1,870331.1,889748.9,909370.06,929348.5
Ouémé,1533034.9,1580481.0,1630031.9,1680123.9,1729659.8,1778342.5,1826414.4,1871709.8,1919441.0,1967428.8,2014569.1,2061884.9,2109500.0,2157089.0,2204626.0,2252397.8
Atakora,827124.7,850727.0,874563.9,898301.75,922366.3,946271.56,970477.4,994434.4,1018860.56,1043763.25,1068509.5,1093947.4,1119852.4,1146024.4,1172445.0,1199246.1
Donga,556223.56,573301.75,590477.3,607546.4,624488.75,641737.1,659220.44,676605.25,694878.0,713514.1,732027.1,750764.3,769735.56,788828.5,808090.56,827602.2
Zou,924401.56,953340.4,981812.6,1010635.44,1039221.9,1068263.9,1097756.6,1127555.9,1156721.2,1186232.4,1215492.5,1244996.8,1274783.2,1304659.9,1334758.6,1365206.1
Kouffo,486373.03,501850.25,517276.03,532562.5,547759.1,562972.06,578183.44,593491.2,608499.94,623977.6,639390.9,654999.5,670821.56,686805.3,703013.0,719412.94
Mono,411599.47,424561.47,437620.78,450782.28,463905.38,476865.12,490005.94,503023.97,516148.53,529481.0,542632.75,555942.7,569440.8,583049.75,596732.2,610544.4
Atlantique,2224426.8,2293964.5,2365328.8,2438805.5,2513478.2,2588666.8,2664924.0,2743540.0,2823097.8,2903307.5,2982482.0,3062115.0,3142347.0,3222667.8,3303140.2,3384055.5
Littoral,600308.4,617154.4,633689.1,649704.94,665107.1,679843.0,693930.4,708304.56,722414.2,736526.8,750282.5,764036.94,777830.2,791564.5,805208.44,818863.8
